"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Wealden","South East England",2021,7.97,78.02929427,3,7.66,65.42087224,14.59203431,13.51301396,83.315,7.77,1.966411238,9.872428604,68.65331842,26.08217562,69.0311666,1.866263554,12,3.47576834,93.61525705
"Basildon","East of England",2021,7.83,73.97260274,2.7,7.83,49.79726059,15.20594637,8.272232524,80.96,7.66,5.491634588,10.49557016,69.67811269,29.40676568,63.06394849,1.0657629,13.3,4.2621512,94.18537709
"Braintree","East of England",2021,8.13,74.03787416,3.01,7.67,57.02003004,17.79689866,13.44600523,81.76,7.8,3.174582438,13.33703765,68.26062187,27.33158388,61.17892029,3.211097553,9.5,3.14740689,93.1598513
"Brentwood","East of England",2021,7.73,77.09563164,3.15,7.31,57.86727662,14.1125945,17.79269076,82.685,7.58,4.958442298,8.407729951,61.29766867,22.17281577,68.41526286,0,14.1,3.68162437,95.64846416
"Castle Point","East of England",2021,8.16,73.73417722,2.7,7.65,54.60978373,16.49257631,3.570575917,81.285,7.9,3.148336353,6.73186347,70.45094551,27.77362919,64.42222236,3.34418335,12.6,3.90939955,93.85321101
"Chelmsford","East of England",2021,7.88,73.30960854,3.12,7.63,60.55002354,23.30586406,5.580598963,82.96,7.69,5.836846766,14.36515674,58.14518841,25.88616744,67.41908152,7.152170684,7.3,3.59412021,95.22872602
"Colchester","East of England",2021,7.58,73.95696091,3.24,6.76,55.34205541,28.4709576,4.8345716,81.95,7.35,5.030425963,23.7256246,66.21064263,26.06756832,64.12383394,1.039371388,12.7,3.60427112,95.3257086
"Epping Forest","East of England",2021,7.87,74.9628529,3.19,7.39,61.74181302,19.58709763,2.575626797,82.18,7.73,5.053905807,9.539969477,57.45089896,26.63860446,67.84120624,1.482480783,14.4,3.80981198,94.35483871
"Harlow","East of England",2021,7.75,72.2392638,2.84,7.79,51.44039686,26.74607215,3.052601263,80.52,7.48,7.115032081,17.93333358,73.49641059,32.36845371,60.42478514,0,20.5,4.40982606,91.17647059
"Maldon","East of England",2021,7.76,75.16025641,3.39,7.21,61.39574268,17.34636925,5.213964863,82.19,7.43,1.865414902,12.81920235,69.08921412,29.09647171,72.18207181,3.001786063,14.5,3.36243077,92.60969977
"Rochford","East of England",2021,8.15,79.23913043,2.34,7.97,55.05168696,21.89547059,6.428831305,82.64,7.96,1.620505095,13.08254415,67.24697794,25.90361446,68.25472608,1.160281252,8.5,3.06519812,96.21513944
