"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Salford","North West England",2021,7.6,67.61016404,3.35,7.3,48.73633477,14.64934879,2.109034084,78.815,7.36,4.750720412,19.23079167,66.69686085,32.44442784,58.47078682,2.954602532,13.9,5.28179053,89.70331588
"Stockport","North West England",2021,7.86,70.23269012,3.17,7.56,49.97081188,19.50549121,2.04295694,81.295,7.76,4.286243571,13.65444038,63.14483474,28.58005289,66.3238281,2.370928354,12.6,4.33187643,94.5840708
"Tameside","North West England",2021,7.85,67.40690126,2.91,7.48,50.1213793,15.22431444,3.211830497,78.505,7.62,3.984730337,11.46969566,70.34522383,31.65355222,59.84909705,2.162639112,19.2,3.85837608,92.42878561
"Trafford","North West England",2021,7.82,75.31580744,3.44,7.43,55.20384756,15.87940071,1.685732425,82,7.48,5.509746232,8.972512029,60.69255718,25.52675412,68.24400841,1.273636572,11.1,3.94728127,95.78670178
"Wigan","North West England",2021,8.05,68.18425281,3.05,7.6,48.86187187,12.69078941,3.914800172,79.36,7.68,4.73826169,8.92551663,73.68178685,32.01253133,62.14150878,1.516258844,13.9,3.73375703,94.71568064
"Knowsley","North West England",2021,7.63,68.0746023,3.08,7.19,43.81785722,19.26385147,2.092362907,78.015,7.36,2.361398998,15.31475229,73.96971376,37.15088629,54.23371053,0,16,4.11530044,86.10846813
"Liverpool","North West England",2021,7.74,64.63955638,3.28,7.14,46.70848566,16.4257958,2.183879824,77.99,7.34,6.337991584,36.43981682,65.89770238,34.00341502,60.53591075,4.128069219,17.8,5.67481498,92.21741816
"St. Helens","North West England",2021,7.97,70.12345679,3.06,7.45,47.49375452,12.79173355,3.745779097,79.24,7.48,4.842762086,10.20177931,67.56333393,34.65130617,66.29247637,0.545283029,10.6,3.89220682,92.40105541
"Sefton","North West England",2021,7.81,69.27710843,3.04,7.62,51.8846609,13.9829222,5.139614034,80.205,7.52,4.46177768,8.861782178,71.47699195,32.55716005,65.96774036,0,10,3.81221151,92.07585506
"Wirral","North West England",2021,7.52,69.25592805,3.36,7.31,52.76155517,16.10929511,7.514188033,79.71,7.25,3.598120468,12.79254993,71.80483593,29.6722942,66.13758581,0.623830318,11.5,3.77904803,94.01879806
"Barnsley","Yorkshire and the Humber",2021,7.54,70.56277056,2.97,7.22,55.06536725,17.58615547,3.171053924,79.12,7.31,3.196665471,14.9682463,70.56283923,26.41205292,61.38096849,2.858391216,17,4.06276841,91.09856709
"Doncaster","Yorkshire and the Humber",2021,7.69,72.30856174,2.97,7.54,48.55594844,16.07076739,2.797176215,79.42,7.43,6.125613441,10.70867548,71.02929683,32.46741155,59.34879854,6.478677054,19.6,4.70056786,91.40522876
"Rotherham","Yorkshire and the Humber",2021,7.77,70.27707809,3.34,7.5,47.00591226,21.36920975,6.166935729,79.24,7.46,3.694562691,14.30907878,68.33256493,32.24733957,61.99796372,1.127044176,16.9,4.28384512,91.8571876
"Sheffield","Yorkshire and the Humber",2021,7.89,70.04152028,3.15,7.45,55.4617537,12.66443208,3.223657409,80.47,7.66,5.529400184,37.51331041,63.85963112,29.86617313,68.0772829,3.24674739,13.3,4.91999654,91.70258621
"Newcastle upon Tyne","North East England",2021,7.82,70.3796674,3.14,7.49,54.59604522,22.09502044,6.316264401,79.475,7.69,9.233306391,26.1298985,66.57413883,32.77591569,65.27868673,3.017461041,15.6,7.61917655,91.41295863
"North Tyneside","North East England",2021,7.75,72.47516556,3.43,7.16,59.77697388,19.20138894,11.57687775,80.24,7.51,6.276601347,15.41404088,65.86182732,30.98226432,64.81492962,1.434370383,15.3,5.57018494,93.29608939
"South Tyneside","North East England",2021,7.85,73.42531494,2.79,7.44,49.18625287,14.44785183,15.28376441,78.825,7.52,4.744165735,12.26919764,65.90019405,40.5408421,61.54540427,0.676063956,16.3,6.28572403,91.58023185
"Sunderland","North East England",2021,7.41,72.7865477,3.18,7.1,48.39613524,15.86102974,22.86267774,78.725,7.23,7.054267472,13.05043088,69.14693305,29.4970612,61.06678129,1.823413357,15.2,5.85583346,91.4224446
"Birmingham","West Midlands",2021,7.71,68.03161367,3.23,7.32,47.46738034,22.99097928,8.783110444,79.43,7.5,4.199820258,16.66159013,63.54302024,31.24053638,58.3215894,2.713362171,16.1,8.03777966,91.96185286
"Coventry","West Midlands",2021,7.69,68.9432395,3.11,7.41,50.73973064,17.7183239,2.150057192,79.97,7.44,4.164612915,14.76745083,68.36599266,36.7581542,58.6193698,3.49528137,13.7,5.47465355,91.55757414
"Dudley","West Midlands",2021,7.89,67.5951955,3.15,7.42,54.95876125,21.08296291,2.051303076,80.51,7.52,4.147498317,13.38670333,66.8008882,34.59157415,58.0238908,1.236166524,13.7,4.09404986,93.44212753
"Sandwell","West Midlands",2021,7.58,66.21329879,2.88,7.25,47.3679692,24.87326016,2.533002222,78.405,7.29,5.041909543,15.19161496,70.82469975,34.09152488,59.92919099,0.877888619,18.1,5.79132935,93.78155727
"Solihull","West Midlands",2021,7.66,72.75653924,3.11,7.37,54.28922166,40.17560364,2.406578404,82.2,7.44,4.864658577,29.74198237,62.75094142,26.15857305,68.76224711,1.846159527,10.8,4.33654287,93.10003301
"Walsall","West Midlands",2021,7.67,68.04230075,3.3,7.39,51.3087526,11.83763626,3.134453113,79.595,7.42,4.052790915,8.798467445,71.52771063,36.01583113,52.76868111,1.406934782,14,6.48164262,93.5052531
"Wolverhampton","West Midlands",2021,7.75,69.44444444,3.07,7.53,48.46705561,19.31122427,4.461211512,78.92,7.5,5.283521238,10.83042771,68.51665048,35.32400811,60.07469747,1.893681165,13.6,6.52880259,93.4129902
"Bradford","Yorkshire and the Humber",2021,7.82,68.1153895,3.33,7.49,51.72111456,18.14989444,1.764592095,79.425,7.47,3.980609745,14.93935019,63.22333287,31.57743828,60.90816251,3.290820804,15.4,5.82754155,91.12814896
"Calderdale","Yorkshire and the Humber",2021,7.72,69.98027613,2.97,7.34,53.77179773,16.09333102,1.660748784,80.51,7.45,3.94440004,14.96671475,63.65735352,28.95539967,65.59127234,1.450550726,14.8,4.57124877,94.02420575
"Kirklees","Yorkshire and the Humber",2021,7.92,69.99442276,2.73,7.59,50.04311608,14.20108181,1.862618853,80.28,7.59,3.72544132,9.961647626,69.67284274,30.41355758,62.80975617,1.153788464,13.6,5.13744912,93.57373086
"Leeds","Yorkshire and the Humber",2021,7.89,66.35939927,3.41,7.35,53.73420483,16.48265112,1.141490232,79.78,7.54,6.755251094,36.78136981,63.55740268,31.71501059,71.06548409,3.09009735,12.1,5.19832853,91.65551636
"Wakefield","Yorkshire and the Humber",2021,7.89,70.61087061,2.99,7.54,50.5774695,20.12319459,1.259051471,79.35,7.62,6.393774602,13.73699042,71.637536,37.97089845,67.22236723,1.413219824,15.6,3.76751033,93.43026387
"Gateshead","North East England",2021,7.73,73.12711455,3.21,7.49,53.14403319,16.16550167,1.473979745,79.475,7.47,5.743996039,12.68964169,73.34094083,33.9485248,63.89362165,1.019607043,14.1,5.9316352,93.90180879
"Barking and Dagenham","London",2021,7.82,72.80089361,2.5,7.77,47.8826949,14.75752907,1.650870845,79.345,7.6,4.409010448,6.587600931,64.51548251,34.62907267,52.33458915,1.372784098,11.3,7.64763306,93.66336634
"Barnet","London",2021,7.7,74.76950753,3.07,7.47,57.06994307,12.40518559,4.045310409,83.765,7.36,4.205440005,7.189246906,61.12332567,26.64714323,63.947614,3.345006548,10.5,6.4487263,94.92808478
"Bexley","London",2021,7.72,76.47058824,3,7.26,54.27169169,18.90867592,1.234142136,81.855,7.43,3.072590964,10.26119281,64.60952711,30.00362144,60.07761036,2.839261305,12.8,5.11440228,94.98412698
"Brent","London",2021,7.59,71.75726928,3.4,7.51,58.7004808,15.54875212,1.928853755,82.71,7.41,4.015218778,7.13091894,55.89514865,30.70002798,55.94776708,5.015962563,8.2,6.35608145,95.232
"Bromley","London",2021,7.81,78.02971071,3.31,7.37,59.39177865,13.81331236,1.731008262,83.055,7.44,5.24414579,7.371451752,58.02917367,25.36776337,71.0855411,0.30318649,8.9,4.71865414,95.39724421
"Camden","London",2021,7.68,72.44444444,3.73,7.16,60.82076444,14.51101815,8.693348138,85.39,7.35,9.262439359,21.06092187,50.45717399,27.85575565,69.27587593,46.10485289,6.6,4.65112095,95.29561348
"Croydon","London",2021,7.71,74.56211813,3.5,7.21,52.18985003,15.61512884,2.529941036,81.665,7.47,3.770302371,10.36842236,61.80922665,30.64465951,63.40057441,2.816858128,12.9,6.57609919,94.38082557
"Ealing","London",2021,7.93,70.82852527,3.3,7.6,52.35468671,9.479075836,1.515997766,82.035,7.69,4.742302573,5.226028869,53.00907957,29.66863669,61.2980552,6.281973195,10.3,6.72489431,95.39927703
"Enfield","London",2021,7.7,69.97058158,3.2,7.33,55.58082967,17.85638528,2.6111711,82.12,7.41,3.417399359,8.891844814,60.89360634,33.23221283,61.38106856,6.371339893,18.5,7.06295497,93.57578975
"Greenwich","London",2021,7.49,78.01985659,3.65,7.11,53.2268458,15.76029819,1.528909742,81.01,7.24,5.975075597,11.05571454,62.23814002,34.68260765,66.42473611,3.111452218,11.5,6.36741923,93.66830065
"Hackney","London",2021,7.4,69.68293552,3.2,7.21,61.31653452,11.3243169,0.929612269,81.475,7.32,10.9489181,10.76141621,52.36684176,37.49908603,69.62614073,4.231485328,14.2,4.75571205,93.96325459
"Hammersmith and Fulham","London",2021,7.61,73.7019555,3.51,7.24,62.24487867,36.15088536,2.134471718,81.45,7.3,11.93174389,49.3651474,46.43553682,27.69627863,74.4588625,1.636705857,10.8,5.15946984,92.97407913
"Haringey","London",2021,7.56,73.1322343,3.25,7.13,52.32531342,15.07945381,1.155407018,81.975,7.32,6.517568526,9.453292959,49.54994635,26.14257564,64.69738245,3.786014463,9.5,5.76437451,92.4248497
"Harrow","London",2021,7.89,74.12425644,3.4,7.55,62.36917737,17.90586891,1.767147734,83.955,7.69,2.655168861,6.485579305,52.96188436,28.42133882,59.87058865,0.383160847,7.6,5.85504915,94.94430163
"Havering","London",2021,7.75,71.93861572,3.15,7.41,51.75334881,16.83400978,1.589620509,81.565,7.57,4.883925249,7.730000379,68.81589037,29.85443497,61.31885378,0.763294685,10.3,4.94560203,94.44053483
"Hillingdon","London",2021,7.68,74.84045164,3.21,7.5,49.29202038,11.9713809,1.455214885,81.655,7.53,4.951231983,8.248621263,55.73756139,29.02088378,56.28053262,2.952833408,11.1,6.14240992,94.4595822
"Hounslow","London",2021,7.81,74.08738938,3.38,7.48,55.49052052,11.37682827,4.174298822,81.525,7.4,5.169869778,5.468356425,63.2336962,28.53813822,57.93678197,1.389178301,11.6,6.25907462,95.02743484
"Islington","London",2021,7.58,70.99634846,3.19,7.17,58.76244642,13.06074437,3.585165624,81.335,7.3,9.342442013,13.89437469,43.96550251,29.67053787,73.99253183,5.997222825,11.5,4.9791945,92.45411285
"Kensington and Chelsea","London",2021,7.54,70.31055901,3.52,7.17,57.99864438,11.91349146,2.887691084,86.02,7.18,10.79278866,9.994064129,46.43773679,28.81296642,67.71488715,7.642073086,14.4,5.28773453,94.37570304
"Kingston upon Thames","London",2021,7.66,76.24678663,3.49,7.34,57.5854,14.43504991,6.751351589,83.45,7.46,5.303055677,13.22816397,57.6050234,24.17592103,68.60529635,16.68205785,10.5,4.28329745,95.69892473
"Lambeth","London",2021,7.6,71.76549865,3.92,6.99,58.64043492,15.18030752,2.614042934,81.255,7.41,6.985423212,14.93595365,57.77388075,30.53097345,73.41945635,9.133915804,12.4,4.78472129,92.75555556
"Lewisham","London",2021,7.63,76.22000539,3.02,7.44,53.52923227,14.30224796,1.544962843,80.965,7.5,6.016855055,10.46333578,51.01852027,30.36793096,70.95531059,2.334812048,12.2,5.17976046,93.5791757
"Merton","London",2021,7.67,75.35525782,3.26,7.55,53.28900144,15.38653673,5.653768995,82.22,7.58,4.630593888,10.7847203,50.37279953,26.72117549,67.25627464,2.322082072,12.8,5.22901639,94.34083601
"Newham","London",2021,7.83,75.71817991,2.64,7.71,48.46587905,15.29192514,3.543286215,81.04,7.7,6.096840114,7.88044356,61.24938361,40.53815883,59.08863625,4.84847102,13.9,5.95520267,94.28781564
"Redbridge","London",2021,7.55,75.22755228,3.06,7.29,53.22021673,13.98228416,3.804699289,82.53,7.57,4.325095368,7.558883067,57.44819741,30.95010035,57.36966785,4.841270866,11.8,7.38899639,96.18506494
"Richmond upon Thames","London",2021,7.68,80.82379863,3.87,7.3,64.40327415,12.61216746,3.275722446,84.31,7.47,6.41967084,8.295865351,45.5369234,19.51568924,74.00205557,1.536633339,8.2,4.54439466,92.68146371
"Southwark","London",2021,7.57,74.1945574,3.7,7.24,53.44491547,45.13465462,4.348583339,81.875,7.32,8.383929604,17.88612791,47.92158133,33.01300023,72.32965353,3.263984542,12,5.00321754,94.58443024
"Sutton","London",2021,7.72,73.73737374,2.98,7.45,55.68112491,13.71006623,16.90638384,82.12,7.44,3.639742522,11.65445388,62.78524551,24.66354127,60.96696295,0.954576478,12.1,5.07988586,96.09144543
"Tower Hamlets","London",2021,7.64,70.53209948,2.62,7.43,52.21853136,14.41914927,12.6978441,81.605,7.62,8.750817094,14.0887543,53.54065535,36.30586787,60.27481051,8.966513275,12,5.90606939,93.13821138
"Waltham Forest","London",2021,7.71,76.29459148,2.92,7.53,55.78263981,13.70828315,9.376554469,82.14,7.47,5.781035603,7.411523704,54.68428443,30.0646418,60.41273146,1.798237727,9,6.56458865,94.09672831
"Wandsworth","London",2021,7.7,76.19047619,3.59,7.37,63.94553398,13.02199906,13.14190948,82.155,7.55,6.984396561,15.23395484,49.66695405,26.66561165,76.50821933,5.481671423,13.3,4.28181246,94.98381877
"Westminster","London",2021,7.75,70.18308631,3.57,7.38,56.05874828,12.61700281,10.24215833,85.91,7.38,12.5440989,30.65533847,45.2659508,31.11725715,64.52499886,91.18081595,11.8,4.99207266,94.18942475
