"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT1083315","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",7,5,1,2,2,3,4,4,4,4,2,5,4,4,5,4,1.5,1,1,1,1,1,6,5,5,100,4,4,5,1,40,NA,40
"AT1091011","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Tertiary education - first level (ISCED 5)","Male","Student",1,2,4,2,4,2,1,4,4,4,3,4,4,2,2,2,3,1,2,1,5,4,6,6,6,68,NA,NA,NA,NA,NA,NA,NA
"AT1062211","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","25-34","Upper secondary education (ISCED 3)","Male","Unemployed",5,4,1,2,2,4,4,4,4,4,1,3,4,3,3,2,2.75,2,2,3,2,2,3,4,5,76,NA,NA,NA,NA,NA,NA,NA
"AT1062615","2011","United Kingdom","GB","Married or living with partner","1","A medium to large town","35-49","Completed education abroad","Male","Employed (includes on leave)",2,4,1,3,5,4,4,4,4,4,1,4,5,5,5,2,1.25,2,3,4,2,3,3,6,6,64,2,5,5,2,45,NA,45
"AT1067822","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Lower secondary education (ISCED 2)","Male","Unemployed",4,5,1,4,5,4,4,4,4,4,1,2,5,4,1,4,3,3,5,5,3,5,4,6,3,36,NA,NA,NA,NA,NA,NA,NA
"AT1070311","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Upper secondary education (ISCED 3)","Female","Student",3,4,1,1,5,4,4,4,4,4,1,4,4,4,4,4,2,2,3,2,2,2,3,5,6,76,NA,NA,NA,NA,NA,NA,NA
"AT1077318","2011","United Kingdom","GB","Never married and not living with partner","1","A city or city suburb","18-24","Lower secondary education (ISCED 2)","Male","Unemployed",5,5,1,1,5,3,4,4,4,4,2,4,4,4,2,3,2.5,4,2,2,1,1,4,5,6,80,NA,NA,NA,NA,NA,NA,NA
"AT1087723","2011","United Kingdom","GB","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Male","Unemployed",7,1,1,2,2,4,4,4,4,4,1,3,4,4,4,2,2.25,2,2,2,2,1,4,6,6,84,NA,NA,NA,NA,NA,NA,NA
"AT1093013","2011","United Kingdom","GB","Married or living with partner","0","A city or city suburb","25-34","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",3,5,1,1,5,4,4,4,4,4,1,4,4,2,2,2,3,2,3,2,3,2,3,5,5,72,2,4,5,2,25,NA,25
"AT1015815","2011","United Kingdom","GB","Separated or divorced and not living with partner","1","A medium to large town","25-34","Completed education abroad","Male","Employed (includes on leave)",1,4,1,2,2,4,4,4,4,4,1,2,4,2,2,2,3.5,3,2,2,2,2,6,4,6,76,2,5,2,3,16,NA,16
"AT1022611","2011","France","FR","Separated or divorced and not living with partner","5 or more children","A city or city suburb","50-64","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,3,1,2,1,1,1,1,1,1,3,5,5,5,5,2,1,2,5,2,4,2,4,4,6,60,1,2,5,2,60,NA,60
"AT1024007","2011","Germany","DE","Separated or divorced and not living with partner","2","A medium to large town","35-49","Lower secondary education (ISCED 2)","Male","Unemployed",1,4,2,4,5,4,4,4,4,4,1,4,2,1,5,1,3,3,4,4,5,2,3,5,3,48,NA,NA,NA,NA,NA,NA,NA
"AT1027313","2011","Germany","DE","Married or living with partner","0","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",3,3,1,1,5,4,4,4,4,4,1,2,5,3,5,2,2.25,2,2,2,2,2,4,5,6,80,5,5,5,1,60,NA,60
"AT1022712","2011","Germany","DE","Never married and not living with partner","0","A village/small town","25-34","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",5,5,1,1,3,4,4,4,4,4,1,5,5,5,5,2,1,2,2,2,1,1,6,6,6,88,5,5,4,1,42,NA,42
"AT1047214","2011","France","FR","Married or living with partner","0","A medium to large town","25-34","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",8,5,1,3,3,4,1,4,4,4,3,5,4,3,3,2,2.25,2,3,3,3,2,4,4,4,68,1,3,4,2,55,NA,55
"AT1049115","2011","Germany","DE","Never married and not living with partner","0","A city or city suburb","35-49","Lower secondary education (ISCED 2)","Female","Employed (includes on leave)",7,5,2,2,5,4,4,4,4,4,1,5,5,5,5,4,1,3,3,2,2,2,3,3,5,72,2,2,4,2,40,NA,40
"AT1011104","2011","France","FR","Married or living with partner","0","A village/small town","18-24","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",5,5,1,2,5,4,4,4,4,4,1,4,4,4,4,1,2,2,4,3,4,3,3,4,4,56,1,5,5,2,40,NA,40
"AT1211914","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Lower secondary education (ISCED 2)","Male","Unemployed",6,5,1,2,5,1,4,4,4,4,3,5,5,5,2,3,1.75,5,3,3,3,2,6,6,6,56,NA,NA,NA,NA,NA,NA,NA
"AT1041107","2011","Germany","DE","Separated or divorced and not living with partner","2","A village/small town","35-49","Primary education (ISCED 1)","Male","Unemployed",5,5,5,5,5,4,4,4,4,4,1,4,2,2,1,3,3.75,NA,NA,4,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"AT1041208","2011","France","FR","Married or living with partner","2","A medium to large town","50-64","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",1,5,1,5,5,4,4,4,4,4,1,5,4,4,4,3,1.75,3,5,2,5,2,5,6,6,52,2,5,5,2,40,NA,40
"AT1041309","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","25-34","Tertiary education - first level (ISCED 5)","Male","Student",7,5,1,1,3,4,3,3,4,4,2,4,4,3,3,5,2.5,2,5,1,6,3,1,5,5,52,NA,NA,NA,NA,NA,NA,NA
"AT1125918","2011","United Kingdom","GB","Never married and not living with partner","0",NA,"25-34","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",1,2,1,2,5,4,4,4,4,4,1,3,2,4,4,2,2.75,2,2,3,4,2,5,5,6,68,1,1,5,2,24,NA,24
"AT1133109","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Upper secondary education (ISCED 3)","Male","Unemployed",3,3,1,1,5,4,4,4,4,4,1,3,3,3,3,3,3,2,2,2,2,3,4,4,4,76,NA,NA,NA,NA,NA,NA,NA
"AT1138518","2011","Italy","IT","Never married and not living with partner","0","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",5,4,1,4,5,4,4,4,4,4,1,5,4,5,5,2,1.25,1,2,2,3,3,5,6,6,76,3,5,5,1,45,NA,45
"AT1184418","2011","Italy","IT","Never married and not living with partner","0","A city or city suburb","35-49","Post-secondary including pre-vocational or vocational education but not tertiary (ISCED 4)","Male","Employed (includes on leave)",2,2,1,1,3,4,4,4,4,4,1,5,5,4,5,3,1.25,3,3,1,3,2,3,5,6,72,3,3,5,1,50,NA,50
"AT1147215","2011","Italy","IT","Never married and not living with partner","0","A village/small town","25-34","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",6,4,2,2,2,4,4,4,4,4,1,4,4,4,4,3,2,2,3,2,2,2,4,5,5,76,4,5,4,1,36,NA,36
"AT1129316","2011","Italy","IT","Separated or divorced and not living with partner","0","A medium to large town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",6,4,3,4,4,4,4,4,4,4,1,4,3,3,4,4,2.5,3,5,3,4,5,1,2,3,40,1,2,2,3,50,3,53
