"region","wave","time_in_green","ncs_easy_walking_distance","ncs_relax_unwind","ncs_high_enough_standard","imp_protect_environment","concerned_damaging_environment","pick_up_litter","vote_political_party","change_lifestyle","wb_lonely","wb_satisfied","wb_worthwhile","wb_happy","wb_worried_anxious","wb_worried_anxious_r","ncs","wellbeing"
"London","Wave 5 - July 2020","Once a week",5,2,2,5,5,1,2,"Yes",4,6,7,6,8,2,3,5.25
"East Midlands","Wave 5 - July 2020","Once a week",2,4,4,4,4,1,2,"Yes",2,8,8,8,2,8,3.33333333333333,8
"East","Wave 5 - July 2020","More than twice a week, but not every day",5,5,4,5,5,3,4,"Yes",4,8,9,8,7,3,4.66666666666667,7
"East","Wave 5 - July 2020","Every day",1,1,1,4,4,3,3,"No",4,6,6,6,2,8,1,6.5
"North West","Wave 5 - July 2020","Twice a week",5,4,4,5,5,4,3,"Yes",3,9,9,9,9,1,4.33333333333333,7
"South East","Wave 5 - July 2020","Once a week",2,4,4,5,5,2,4,"Yes",2,7,9,10,3,7,3.33333333333333,8.25
"South West","Wave 5 - July 2020","Twice a week",4,4,4,3,3,3,3,"Yes",3,6,7,7,5,5,4,6.25
"South West","Wave 5 - July 2020","Every day",1,1,1,5,4,4,1,"Yes",2,7,8,9,0,10,1,8.5
"East Midlands","Wave 5 - July 2020","More than twice a week, but not every day",5,5,5,5,5,4,4,"Yes",4,1,2,1,9,1,5,1.25
"West Midlands","Wave 5 - July 2020","More than twice a week, but not every day",5,5,5,5,5,3,4,"Yes",1,4,8,6,1,9,5,6.75
"North West","Wave 5 - July 2020","Once a week",5,5,5,5,5,2,5,"Yes",3,6,8,7,2,8,5,7.25
"East","Wave 5 - July 2020","Twice a week",4,5,4,5,4,5,4,"Yes",1,8,10,10,1,9,4.33333333333333,9.25
"South East","Wave 5 - July 2020","Twice a week",4,4,4,4,4,2,2,"Yes",5,7,5,6,6,4,4,5.5
"South East","Wave 5 - July 2020","Less often",1,4,4,3,3,2,2,"Yes",4,5,9,7,0,10,3,7.75
"South West","Wave 5 - July 2020","Twice a week",4,4,4,5,5,4,5,"Yes",1,9,9,8,0,10,4,9
"South East","Wave 5 - July 2020","Once or twice a month",5,4,4,4,4,3,3,"Yes",3,7,7,7,2,8,4.33333333333333,7.25
"South East","Wave 5 - July 2020","Every day",4,5,2,4,4,5,4,"Yes",4,6,7,7,6,4,3.66666666666667,6
"South West","Wave 5 - July 2020","More than twice a week, but not every day",5,4,4,4,5,3,2,"Yes",1,8,5,8,0,10,4.33333333333333,7.75
"North West","Wave 5 - July 2020","Once or twice a month",4,4,4,4,4,1,1,"Yes",3,7,8,6,5,5,4,6.5
"North West","Wave 5 - July 2020","Once or twice a month",1,4,4,5,5,2,3,"Yes",4,7,8,7,7,3,3,6.25
"South West","Wave 5 - July 2020","Twice a week",5,5,5,5,4,3,3,"Yes",3,7,4,6,4,6,5,5.75
"London","Wave 5 - July 2020","Twice a week",4,4,4,5,4,4,4,"Yes",4,10,10,10,7,3,4,8.25
"West Midlands","Wave 5 - July 2020","Every day",5,5,5,5,5,3,3,"Yes",2,9,10,10,8,2,5,7.75
"London","Wave 5 - July 2020","Twice a week",4,4,4,5,5,3,4,"Yes",5,7,6,8,2,8,4,7.25
"West Midlands","Wave 5 - July 2020","More than twice a week, but not every day",4,4,2,5,5,3,4,"Yes",1,7,10,7,6,4,3.33333333333333,7
"East","Wave 5 - July 2020","More than twice a week, but not every day",3,4,3,4,4,3,4,"Yes",5,4,4,4,7,3,3.33333333333333,3.75
"East","Wave 5 - July 2020","Every day",4,4,4,4,4,4,3,"Yes",2,2,2,4,0,10,4,4.5
"South West","Wave 5 - July 2020","Every day",4,4,4,4,4,4,4,"Yes",4,7,7,7,8,2,4,5.75
"London","Wave 5 - July 2020","Every day",4,4,4,4,4,2,3,"No",4,5,5,3,3,7,4,5
"West Midlands","Wave 5 - July 2020","Twice a week",5,5,5,4,4,3,3,"Yes",4,5,5,8,7,3,5,5.25
"South East","Wave 5 - July 2020","Once a week",4,4,4,4,4,3,3,"Yes",4,7,7,7,5,5,4,6.5
"London","Wave 5 - July 2020","Once or twice a month",5,5,5,4,4,3,3,"Yes",3,9,9,10,0,10,5,9.5
"East Midlands","Wave 5 - July 2020","More than twice a week, but not every day",2,3,4,4,4,3,2,"Yes",2,6,7,5,7,3,3,5.25
"South East","Wave 5 - July 2020","More than twice a week, but not every day",4,4,4,5,5,4,3,"Yes",2,7,8,8,2,8,4,7.75
"North East","Wave 5 - July 2020","Once or twice a month",5,5,5,4,4,3,3,"Yes",4,3,2,3,3,7,5,3.75
"South West","Wave 5 - July 2020","Once or twice a month",5,5,5,3,4,5,1,"Yes",4,6,6,2,2,8,5,5.5
"East Midlands","Wave 5 - July 2020","More than twice a week, but not every day",5,5,5,5,5,5,3,"Yes",5,4,4,6,0,10,5,6
"North East","Wave 5 - July 2020","Every day",5,5,5,4,4,4,3,"Yes",3,8,8,8,0,10,5,8.5
"South West","Wave 5 - July 2020","Once every 2-3 months",4,5,5,4,4,3,3,"Yes",3,7,7,7,5,5,4.66666666666667,6.5
"South East","Wave 5 - July 2020","More than twice a week, but not every day",3,3,5,5,5,5,5,"Yes",2,6,8,8,5,5,3.66666666666667,6.75
"East Midlands","Wave 5 - July 2020","Once a week",4,5,5,5,5,4,3,"Yes",2,7,10,10,0,10,4.66666666666667,9.25
"West Midlands","Wave 5 - July 2020","Once or twice a month",4,4,3,5,5,3,3,"Yes",4,3,6,5,3,7,3.66666666666667,5.25
"South West","Wave 5 - July 2020","Every day",5,5,5,5,5,5,4,"Yes",1,10,10,10,5,5,5,8.75
"London","Wave 5 - July 2020","Once a week",4,3,4,4,4,2,3,"Yes",3,6,6,7,2,8,3.66666666666667,6.75
"North West","Wave 5 - July 2020","More than twice a week, but not every day",1,1,4,4,4,3,2,"Yes",4,5,4,3,8,2,2,3.5
"South West","Wave 5 - July 2020","Once a week",1,4,4,3,3,3,1,"Yes",4,4,5,5,5,5,3,4.75
"South East","Wave 5 - July 2020","More than twice a week, but not every day",4,4,4,4,4,3,2,"Yes",2,8,8,7,3,7,4,7.5
"London","Wave 5 - July 2020","Once a week",5,5,5,5,5,3,3,"Yes",2,6,7,8,5,5,5,6.5
"London","Wave 5 - July 2020","Once a week",4,4,4,5,5,1,5,"Yes",3,8,10,7,7,3,4,7
"South East","Wave 5 - July 2020","Once a week",5,3,4,4,4,2,3,"Yes",2,7,8,8,1,9,4,8
"North West","Wave 5 - July 2020","Once or twice a month",4,5,5,4,5,2,3,"Yes",3,5,5,5,8,2,4.66666666666667,4.25
"East","Wave 5 - July 2020","Every day",4,4,4,4,4,3,4,"Yes",2,8,8,8,2,8,4,8
"South East","Wave 5 - July 2020","Once a week",5,4,4,5,3,3,4,"Yes",1,8,9,9,9,1,4.33333333333333,6.75
"Yorkshire and the Humber","Wave 5 - July 2020","Every day",4,4,4,4,4,2,2,"Yes",2,6,6,6,1,9,4,6.75
"North East","Wave 5 - July 2020","More than twice a week, but not every day",4,3,4,4,4,1,1,"Yes",5,5,7,6,2,8,3.66666666666667,6.5
"Yorkshire and the Humber","Wave 5 - July 2020","More than twice a week, but not every day",5,5,5,5,5,3,4,"Yes",3,4,4,5,3,7,5,5
"Yorkshire and the Humber","Wave 5 - July 2020","Once or twice a month",5,4,4,4,4,4,4,"Yes",1,9,9,9,0,10,4.33333333333333,9.25
"East","Wave 5 - July 2020","Every day",5,5,5,4,4,3,3,"Yes",4,6,7,5,5,5,5,5.75
"East Midlands","Wave 5 - July 2020","Once a week",5,5,5,5,5,3,5,"Yes",2,8,7,8,3,7,5,7.5
"London","Wave 5 - July 2020","More than twice a week, but not every day",3,4,5,4,4,5,2,"Yes",4,6,6,6,4,6,4,6
"South West","Wave 5 - July 2020","More than twice a week, but not every day",5,5,4,4,4,3,2,"Yes",1,8,8,6,4,6,4.66666666666667,7
"South East","Wave 5 - July 2020","Every day",5,5,4,5,5,3,5,"Yes",4,6,7,7,3,7,4.66666666666667,6.75
"London","Wave 5 - July 2020","Once a week",2,3,2,4,3,2,4,"No",4,5,5,5,7,3,2.33333333333333,4.5
"East","Wave 5 - July 2020","More than twice a week, but not every day",4,4,4,4,4,3,4,"Yes",4,4,4,6,3,7,4,5.25
"East","Wave 5 - July 2020","Every day",3,4,2,5,5,3,5,"Yes",4,2,10,5,2,8,3,6.25
"South East","Wave 5 - July 2020","Every day",5,5,5,5,5,2,3,"Yes",2,9,10,8,1,9,5,9
"North West","Wave 5 - July 2020","More than twice a week, but not every day",5,4,4,5,5,3,5,"Yes",1,7,8,8,0,10,4.33333333333333,8.25
"South West","Wave 5 - July 2020","Every day",5,4,5,5,5,4,4,"Yes",4,8,9,9,7,3,4.66666666666667,7.25
"West Midlands","Wave 5 - July 2020","Once or twice a month",5,4,3,3,3,3,2,"Yes",3,7,7,7,3,7,4,7
"South West","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,2,2,"Yes",4,5,5,4,6,4,4,4.5
"South East","Wave 6 - August 2020","Every day",4,4,4,5,5,5,1,"Yes",1,8,9,7,9,1,4,6.25
"East","Wave 6 - August 2020","Twice a week",4,4,4,4,5,1,3,"Yes",2,7,8,10,0,10,4,8.75
"East","Wave 6 - August 2020","Twice a week",1,5,5,3,4,2,2,"Yes",5,4,6,5,6,4,3.66666666666667,4.75
"Yorkshire and the Humber","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,3,4,3,2,"Yes",2,4,5,6,5,5,4,5
"West Midlands","Wave 6 - August 2020","Every day",4,4,3,5,4,3,3,"Yes",2,6,7,8,2,8,3.66666666666667,7.25
"East Midlands","Wave 6 - August 2020","Every day",5,4,3,5,5,3,2,"Yes",4,5,6,6,4,6,4,5.75
"South West","Wave 6 - August 2020","More than twice a week, but not every day",3,4,4,4,4,4,3,"Yes",2,8,8,8,2,8,3.66666666666667,8
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",5,4,5,3,3,1,1,"No",2,7,7,7,2,8,4.66666666666667,7.25
"West Midlands","Wave 6 - August 2020","Once a week",5,5,5,5,5,4,4,"Yes",2,9,9,10,2,8,5,9
"London","Wave 6 - August 2020","More than twice a week, but not every day",4,5,4,4,4,4,3,"Yes",2,8,7,7,7,3,4.33333333333333,6.25
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",5,3,3,5,5,3,4,"Yes",5,2,0,5,8,2,3.66666666666667,2.25
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,5,4,4,4,3,3,"No",5,6,5,7,4,6,4.33333333333333,6
"East Midlands","Wave 6 - August 2020","Once or twice a month",4,4,4,5,5,4,5,"Yes",4,5,10,5,5,5,4,6.25
"East Midlands","Wave 6 - August 2020","Less often",4,4,3,4,4,4,3,"No",1,8,9,9,2,8,3.66666666666667,8.5
"East Midlands","Wave 6 - August 2020","Once or twice a month",3,3,3,4,4,1,4,"Yes",5,0,0,2,7,3,3,1.25
"London","Wave 6 - August 2020","More than twice a week, but not every day",2,1,4,5,5,3,3,"Yes",2,6,8,6,9,1,2.33333333333333,5.25
"Yorkshire and the Humber","Wave 6 - August 2020","More than twice a week, but not every day",5,5,4,4,5,4,2,"Yes",2,8,8,7,6,4,4.66666666666667,6.75
"South East","Wave 6 - August 2020","Every day",4,3,2,5,5,2,4,"Yes",3,10,10,10,0,10,3,10
"Yorkshire and the Humber","Wave 6 - August 2020","Every day",5,4,5,5,4,5,4,"Yes",1,9,9,9,0,10,4.66666666666667,9.25
"East","Wave 6 - August 2020","More than twice a week, but not every day",4,5,4,4,5,3,3,"Yes",4,5,7,8,3,7,4.33333333333333,6.75
"North West","Wave 6 - August 2020","More than twice a week, but not every day",5,4,4,4,4,3,2,"No",2,8,8,9,1,9,4.33333333333333,8.5
"London","Wave 6 - August 2020","Once every 2-3 months",5,5,5,3,4,2,4,"Yes",3,8,9,8,6,4,5,7.25
"South West","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,4,4,4,3,"Yes",2,7,7,9,2,8,4,7.75
"South West","Wave 6 - August 2020","Every day",5,5,4,5,5,4,3,"Yes",2,7,7,7,6,4,4.66666666666667,6.25
"West Midlands","Wave 6 - August 2020","Every day",5,4,3,5,5,3,5,"No",2,8,8,9,2,8,4,8.25
"East","Wave 6 - August 2020","More than twice a week, but not every day",2,4,4,4,4,2,3,"Yes",1,7,7,8,2,8,3.33333333333333,7.5
"London","Wave 6 - August 2020","Twice a week",3,4,4,5,5,3,3,"Yes",2,6,8,9,6,4,3.66666666666667,6.75
"London","Wave 6 - August 2020","Once a week",5,4,5,4,5,1,3,"Yes",1,9,10,10,0,10,4.66666666666667,9.75
"West Midlands","Wave 6 - August 2020","Every day",1,1,1,5,4,5,4,"Yes",2,8,10,8,2,8,1,8.5
"East","Wave 6 - August 2020","Once a week",5,4,5,4,5,4,4,"No",3,7,8,9,10,0,4.66666666666667,6
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",5,4,4,5,5,2,3,"Yes",3,7,7,6,8,2,4.33333333333333,5.5
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,4,4,3,4,"Yes",3,7,8,7,3,7,4,7.25
"West Midlands","Wave 6 - August 2020","Twice a week",4,3,2,5,5,3,5,"Yes",4,3,4,3,9,1,3,2.75
"North West","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,4,3,5,3,"No",2,7,8,8,0,10,4,8.25
"South East","Wave 6 - August 2020","Twice a week",4,4,5,4,4,4,2,"Yes",3,8,8,8,3,7,4.33333333333333,7.75
"West Midlands","Wave 6 - August 2020","Once a week",5,4,4,4,4,4,3,"No",4,3,5,5,6,4,4.33333333333333,4.25
"East","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,5,5,2,5,"Yes",4,5,5,10,0,10,5,7.5
"East","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,5,4,5,3,"No",4,7,6,7,7,3,5,5.75
"South West","Wave 6 - August 2020","Once or twice a month",4,4,4,5,5,3,4,"Yes",4,6,9,6,4,6,4,6.75
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,3,4,3,2,"Yes",2,7,7,7,0,10,4,7.75
"East","Wave 6 - August 2020","Twice a week",4,5,4,4,5,3,4,"Yes",1,8,9,10,0,10,4.33333333333333,9.25
"Yorkshire and the Humber","Wave 6 - August 2020","Once a week",2,4,5,5,5,3,3,"Yes",3,8,8,7,3,7,3.66666666666667,7.5
"South West","Wave 6 - August 2020","Less often",3,2,2,4,4,3,2,"Yes",4,7,7,7,5,5,2.33333333333333,6.5
"Yorkshire and the Humber","Wave 6 - August 2020","Every day",1,1,4,4,4,3,3,"Yes",2,8,8,7,2,8,2,7.75
"North West","Wave 6 - August 2020","Once a week",4,5,5,5,5,4,5,"Yes",5,0,0,0,0,10,4.66666666666667,2.5
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",5,4,4,4,5,4,3,"Yes",4,8,8,7,5,5,4.33333333333333,7
"South West","Wave 6 - August 2020","Every day",4,4,4,1,3,1,1,"No",1,5,6,8,0,10,4,7.25
"South East","Wave 6 - August 2020","Once a week",4,4,4,5,5,3,4,"Yes",4,7,8,7,6,4,4,6.5
"East Midlands","Wave 6 - August 2020","Once or twice a month",5,5,4,5,5,4,3,"Yes",2,8,9,10,2,8,4.66666666666667,8.75
"North East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,5,5,"Yes",5,4,5,6,8,2,4,4.25
"East Midlands","Wave 6 - August 2020","Every day",5,5,5,5,5,2,4,"Yes",5,5,5,5,5,5,5,5
"Yorkshire and the Humber","Wave 6 - August 2020","More than twice a week, but not every day",4,5,5,5,5,5,5,"Yes",3,8,10,10,2,8,4.66666666666667,9
"West Midlands","Wave 6 - August 2020","Once or twice a month",4,4,4,4,4,4,4,"Yes",3,6,6,6,8,2,4,5
"East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,3,3,"Yes",3,5,6,4,5,5,4,5
"East","Wave 6 - August 2020","Twice a week",4,4,4,4,4,5,3,"Yes",4,6,7,7,3,7,4,6.75
"London","Wave 6 - August 2020","Once a week",5,4,4,3,4,4,4,"Yes",4,5,5,5,6,4,4.33333333333333,4.75
"Yorkshire and the Humber","Wave 6 - August 2020","Every day",4,4,5,5,5,4,3,"Yes",2,7,7,8,6,4,4.33333333333333,6.5
"East Midlands","Wave 6 - August 2020","Once a week",4,4,4,4,5,4,3,"Yes",5,5,5,4,5,5,4,4.75
"West Midlands","Wave 6 - August 2020","Twice a week",4,4,3,4,4,2,5,"Yes",3,8,9,7,4,6,3.66666666666667,7.5
"London","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,5,5,"Yes",3,6,7,7,7,3,4,5.75
"South West","Wave 6 - August 2020","Every day",5,5,4,4,4,3,3,"Yes",3,5,5,4,4,6,4.66666666666667,5
"South East","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,4,5,3,3,"No",4,7,8,8,3,7,5,7.5
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,5,5,3,3,"Yes",2,8,8,8,2,8,5,8
"South East","Wave 6 - August 2020","More than twice a week, but not every day",1,1,1,5,5,3,3,"Yes",4,5,8,3,8,2,1,4.5
"London","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,4,4,3,3,"Yes",3,6,6,8,2,8,5,7
"London","Wave 6 - August 2020","More than twice a week, but not every day",5,4,5,4,4,2,3,"No",1,8,10,8,2,8,4.66666666666667,8.5
"London","Wave 6 - August 2020","Once or twice a month",1,1,4,4,5,3,5,"Yes",4,3,8,3,10,0,2,3.5
"Yorkshire and the Humber","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,5,5,2,4,"Yes",1,8,8,9,1,9,5,8.5
"East","Wave 6 - August 2020","Twice a week",5,5,4,4,4,4,3,"Yes",2,5,5,5,4,6,4.66666666666667,5.25
"North West","Wave 6 - August 2020","Twice a week",1,1,1,5,5,1,4,"Yes",4,6,6,6,7,3,1,5.25
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,4,2,3,3,3,4,"Yes",5,5,5,5,0,10,3.33333333333333,6.25
"East Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,4,5,5,5,3,3,"Yes",4,8,8,7,2,8,4.33333333333333,7.75
"North West","Wave 6 - August 2020","Twice a week",4,2,4,5,5,4,3,"Yes",3,7,6,5,8,2,3.33333333333333,5
"London","Wave 6 - August 2020","Twice a week",5,5,5,5,5,4,5,"Yes",1,8,10,10,3,7,5,8.75
"South East","Wave 6 - August 2020","Twice a week",4,4,3,4,4,2,3,"No",4,7,8,8,9,1,3.66666666666667,6
"North East","Wave 6 - August 2020","Once every 2-3 months",1,4,5,4,5,5,5,"Yes",4,4,5,8,3,7,3.33333333333333,6
"South East","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,3,3,3,2,"No",2,8,8,8,0,10,5,8.5
"South West","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,5,5,4,5,"Yes",4,6,6,1,10,0,5,3.25
"London","Wave 6 - August 2020","Once a week",4,4,4,3,4,3,4,"Yes",4,3,5,5,5,5,4,4.5
"North East","Wave 6 - August 2020","More than twice a week, but not every day",1,4,2,5,5,3,3,"Yes",3,7,10,7,6,4,2.33333333333333,7
"South East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,4,5,4,3,"Yes",5,5,6,7,8,2,4,5
"East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,4,5,"Yes",2,8,8,9,1,9,4,8.5
"East","Wave 6 - August 2020","More than twice a week, but not every day",5,3,4,4,4,4,4,"Yes",5,2,5,5,6,4,4,4
"East","Wave 6 - August 2020","Twice a week",5,5,5,4,3,3,2,"Yes",2,8,8,9,8,2,5,6.75
"South West","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,4,3,3,5,"Yes",2,9,9,9,1,9,5,9
"East","Wave 6 - August 2020","Once or twice a month",5,5,5,5,5,3,4,"Yes",5,6,9,6,8,2,5,5.75
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",4,5,2,4,4,2,3,"Yes",5,6,5,7,6,4,3.66666666666667,5.5
"South East","Wave 6 - August 2020","Once or twice a month",4,4,5,3,3,1,1,"No",4,5,5,2,1,9,4.33333333333333,5.25
"North East","Wave 6 - August 2020","Once a week",4,4,4,4,3,2,1,"Yes",5,2,3,6,3,7,4,4.5
"South West","Wave 6 - August 2020","Once a week",5,5,4,5,4,4,3,"Yes",3,8,8,7,1,9,4.66666666666667,8
"London","Wave 6 - August 2020","Twice a week",4,4,4,4,4,3,5,"Yes",2,9,9,9,5,5,4,8
"London","Wave 6 - August 2020","Once a week",5,4,3,4,4,3,2,"Yes",2,7,7,5,3,7,4,6.5
"South East","Wave 6 - August 2020","Once or twice a month",5,4,5,4,5,3,4,"Yes",3,8,9,9,2,8,4.66666666666667,8.5
"South West","Wave 6 - August 2020","Once a week",4,4,4,4,4,5,5,"Yes",1,10,10,10,0,10,4,10
"South East","Wave 6 - August 2020","Twice a week",5,5,5,4,3,5,2,"Yes",1,8,8,6,2,8,5,7.5
"North East","Wave 6 - August 2020","More than twice a week, but not every day",2,3,2,5,5,2,3,"Yes",2,9,9,9,2,8,2.33333333333333,8.75
"South West","Wave 6 - August 2020","Every day",5,5,5,5,5,4,5,"Yes",2,7,8,9,0,10,5,8.5
"North East","Wave 6 - August 2020","Once or twice a month",1,2,2,5,5,5,2,"Yes",4,8,8,6,6,4,1.66666666666667,6.5
"West Midlands","Wave 6 - August 2020","More than twice a week, but not every day",1,1,1,5,4,4,1,"Yes",4,6,6,6,5,5,1,5.75
"North East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,3,4,3,1,"No",2,8,4,8,2,8,4,7
"North East","Wave 6 - August 2020","Every day",4,2,4,5,5,3,1,"Yes",4,8,7,8,7,3,3.33333333333333,6.5
"South East","Wave 6 - August 2020","Twice a week",3,3,3,3,3,3,3,"No",1,4,4,4,4,6,3,4.5
"South East","Wave 6 - August 2020","More than twice a week, but not every day",4,4,4,5,5,4,3,"Yes",4,7,7,6,7,3,4,5.75
"Yorkshire and the Humber","Wave 6 - August 2020","More than twice a week, but not every day",5,5,5,4,4,2,2,"Yes",4,7,7,6,0,10,5,7.5
"North West","Wave 6 - August 2020","Every day",4,5,5,5,5,3,5,"Yes",4,5,7,7,2,8,4.66666666666667,6.75
"West Midlands","Wave 6 - August 2020","Every day",5,5,5,5,4,3,4,"Yes",2,10,9,7,5,5,5,7.75
"South East","Wave 7 - September 2020","Once a week",1,1,1,4,4,1,2,"Yes",4,6,6,0,10,0,1,3
"North East","Wave 7 - September 2020","Once or twice a month",3,4,4,5,5,3,3,"Yes",4,6,8,6,6,4,3.66666666666667,6
"South East","Wave 7 - September 2020","Twice a week",5,4,5,4,5,3,4,"Yes",3,8,10,9,2,8,4.66666666666667,8.75
"South East","Wave 7 - September 2020","More than twice a week, but not every day",5,5,5,5,4,1,5,"Yes",2,8,8,8,8,2,5,6.5
"Yorkshire and the Humber","Wave 7 - September 2020","Once a week",4,4,2,4,4,5,2,"Yes",3,3,2,3,6,4,3.33333333333333,3
"Yorkshire and the Humber","Wave 7 - September 2020","Once a week",2,3,2,5,5,3,5,"Yes",5,4,4,5,3,7,2.33333333333333,5
"London","Wave 7 - September 2020","Every day",4,4,5,4,4,2,4,"Yes",4,5,6,4,2,8,4.33333333333333,5.75
"South East","Wave 7 - September 2020","Every day",4,4,2,5,4,2,3,"Yes",4,8,5,8,0,10,3.33333333333333,7.75
"East","Wave 7 - September 2020","Every day",1,1,3,5,5,4,4,"Yes",5,9,10,10,10,0,1.66666666666667,7.25
"South West","Wave 7 - September 2020","Twice a week",4,5,4,4,4,3,2,"Yes",4,7,7,6,7,3,4.33333333333333,5.75
"South West","Wave 7 - September 2020","More than twice a week, but not every day",3,4,4,4,3,3,2,"Yes",1,9,9,9,0,10,3.66666666666667,9.25
"London","Wave 7 - September 2020","Once or twice a month",5,4,4,1,2,1,1,"No",2,8,7,8,7,3,4.33333333333333,6.5
"East","Wave 7 - September 2020","More than twice a week, but not every day",5,4,4,5,5,4,5,"Yes",1,7,8,6,6,4,4.33333333333333,6.25
"North West","Wave 7 - September 2020","More than twice a week, but not every day",5,5,5,5,5,4,4,"Yes",3,7,9,7,2,8,5,7.75
"South West","Wave 7 - September 2020","Twice a week",2,4,3,4,4,2,3,"Yes",3,7,7,8,8,2,3,6
"East Midlands","Wave 7 - September 2020","Once a week",3,4,3,4,4,2,1,"Yes",5,4,6,6,5,5,3.33333333333333,5.25
"East","Wave 7 - September 2020","More than twice a week, but not every day",5,5,4,5,4,4,3,"Yes",5,6,5,5,3,7,4.66666666666667,5.75
"North West","Wave 7 - September 2020","Every day",4,4,4,3,4,1,2,"No",4,8,9,9,4,6,4,8
"South East","Wave 7 - September 2020","More than twice a week, but not every day",1,1,1,4,4,3,1,"Yes",4,6,7,6,5,5,1,6
"North West","Wave 7 - September 2020","Twice a week",4,4,4,3,3,3,2,"Yes",4,4,5,4,8,2,4,3.75
"East Midlands","Wave 7 - September 2020","Every day",1,4,4,4,5,3,5,"Yes",1,8,8,8,1,9,3,8.25
"East Midlands","Wave 7 - September 2020","More than twice a week, but not every day",4,4,4,5,5,4,5,"Yes",2,7,7,8,3,7,4,7.25
"North East","Wave 7 - September 2020","Twice a week",3,4,4,4,4,5,3,"Yes",3,8,8,8,3,7,3.66666666666667,7.75
"East","Wave 7 - September 2020","More than twice a week, but not every day",5,4,5,5,5,2,4,"No",3,8,9,8,4,6,4.66666666666667,7.75
"South West","Wave 7 - September 2020","Once a week",1,1,1,4,5,3,3,"Yes",1,10,10,0,0,10,1,7.5
"East Midlands","Wave 7 - September 2020","Every day",4,3,3,5,5,3,3,"Yes",2,8,8,7,3,7,3.33333333333333,7.5
"South East","Wave 7 - September 2020","Every day",4,4,4,4,5,3,4,"Yes",3,8,7,7,0,10,4,8
"West Midlands","Wave 7 - September 2020","More than twice a week, but not every day",4,4,5,4,4,3,2,"Yes",5,7,7,6,6,4,4.33333333333333,6
"East","Wave 7 - September 2020","Every day",1,1,5,5,5,5,5,"Yes",3,10,10,8,0,10,2.33333333333333,9.5
"London","Wave 7 - September 2020","Once every 2-3 months",2,5,4,4,5,3,4,"Yes",4,1,3,8,10,0,3.66666666666667,3
